sent_id,sys_name,orig_sent,simp_sent,rater_id,simplicity
1,Hybrid,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,8,100
1,Hybrid,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,11,100
1,Hybrid,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,12,1
1,Hybrid,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,18,1
1,Hybrid,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,19,81
1,Hybrid,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,23,4
1,Hybrid,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,26,100
1,Hybrid,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,28,0
1,Hybrid,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,30,67
1,Hybrid,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,33,0
