sent_id,sys_name,fluency,fluency_zscore,meaning,meaning_zscore,simplicity,simplicity_zscore
1,Hybrid,55.333333333333336,-0.6330255137203735,34.666666666666664,-0.782245773422438,34.06666666666667,-0.49787055594381224
3,ACCESS,86.26666666666667,0.5435473482869025,85.86666666666666,0.6733653218375076,78.53333333333333,0.8764965521478527
5,DMASS-DCSS,24.8,-1.5592481719116686,45.46666666666667,-0.5682448965237575,31.533333333333335,-0.5930540961987852
6,ACCESS,81.93333333333334,0.2511825502327032,96.46666666666667,1.0768294669567413,44.86666666666667,-0.06225539920968193
6,Hybrid,81.86666666666666,0.22035193291512511,44.06666666666667,-0.48977750727197983,54.266666666666666,-0.0816696756148361
7,Dress-Ls,93.6,0.6914661347423469,50.733333333333334,-0.23280181000322378,46.06666666666667,-0.12178521262013
8,Hybrid,44.06666666666667,-1.1618222828214446,8.533333333333333,-1.768514403927553,18.733333333333334,-1.2645613524255854
8,SBMT-SARI,53.333333333333336,-0.4966148975229778,47.06666666666667,-0.4227250445449947,35.0,-0.5163222324342822
9,PBMT-R,88.0,0.5844093091227137,85.06666666666666,0.6545625523245445,58.8,0.18461479476824655
10,ACCESS,74.46666666666667,0.14502674045660063,66.93333333333334,0.2116555580778866,57.0,0.29919719149924345
10,DMASS-DCSS,81.8,0.27735936577627346,52.4,-0.30579279226177936,49.53333333333333,-0.06421147340726162
10,Dress-Ls,52.666666666666664,-0.5946647583670992,54.733333333333334,-0.15369386781340932,54.333333333333336,0.0694205367260562
10,SBMT-SARI,71.2,0.018614163349714098,77.86666666666666,0.3106115433422267,55.0,-0.28288126405275427
11,ACCESS,93.0,0.6544749101200841,90.66666666666667,0.9114793194194368,78.0,0.7852313886677055
11,Dress-Ls,95.46666666666667,0.8425913166401039,69.6,0.34167017909330455,61.46666666666667,0.4058500841150932
11,Hybrid,85.13333333333334,0.30216206131682666,70.26666666666667,0.2620301910994773,55.93333333333333,0.11662677580042609
11,PBMT-R,95.2,0.6947622365141544,89.66666666666667,0.8938160297794281,72.8,0.7014983101578275
14,Hybrid,29.6,-1.3687477582486713,27.666666666666668,-1.185951540390659,17.2,-1.1808980366366562
14,SBMT-SARI,64.93333333333334,-0.25326517447457003,69.13333333333334,0.17731801119676813,41.86666666666667,-0.12374723873809038
15,Hybrid,48.53333333333333,-0.8540129296225888,40.86666666666667,-0.6902270716730372,58.4,0.21952964741164954
16,ACCESS,91.66666666666667,0.6401744079539213,90.13333333333334,0.8875933611994072,72.06666666666666,0.6475527659337795
17,PBMT-R,27.266666666666666,-1.8221550183605664,25.333333333333332,-1.1637227724971135,19.4,-0.9158794641896651
18,SBMT-SARI,95.2,0.7366706849262847,97.8,1.123245335128477,74.0,0.73051176421852
19,Hybrid,55.333333333333336,-0.8158967323457664,30.333333333333332,-0.9574025276856108,46.2,-0.13288493120809938
20,DMASS-DCSS,66.6,-0.21790669031077492,65.8,0.08058391193688837,29.466666666666665,-0.5446253494910712
21,Hybrid,55.06666666666667,-0.6613746427013429,20.933333333333334,-1.2508614658377761,24.933333333333334,-0.9302197630838207
21,PBMT-R,93.06666666666666,0.7906330308292154,93.33333333333333,0.8575586282550305,55.13333333333333,0.11593554813349598
24,DMASS-DCSS,97.93333333333334,0.9769026164979653,52.4,-0.1758881408096117,82.86666666666666,1.0110489821729658
24,Dress-Ls,41.6,-0.9721800509959184,16.133333333333333,-1.729192502812529,24.466666666666665,-0.8829499329866592
25,Dress-Ls,67.2,-0.21722529847175212,50.266666666666666,-0.2610867974115178,69.33333333333333,0.5426812667727001
25,PBMT-R,57.266666666666666,-0.48857122615539084,76.8,0.35165531208881234,46.46666666666667,-0.16351821922610776
26,Dress-Ls,93.33333333333333,0.5974351362488101,97.2,1.0846379604518637,29.666666666666668,-0.5611322087166936
